order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1395,49,2,493.34,986.68
2,913,43,1,858.15,858.15
3,464,12,5,202.48,1012.4
4,876,45,2,943.3,1886.6
5,1394,1,5,678.86,3394.3
6,1524,29,3,768.15,2304.45
7,27,8,1,34.17,34.17
8,1554,9,5,984.09,4920.45
9,1777,14,2,156.09,312.18
10,521,6,5,676.06,3380.3
11,618,17,1,184.12,184.12
12,882,6,1,676.06,676.06
13,558,33,3,278.99,836.97
14,913,24,5,432.46,2162.3
15,913,11,4,460.85,1843.4
16,1527,43,1,858.15,858.15
17,854,16,3,780.63,2341.89
18,440,3,5,662.25,3311.25
19,539,19,5,256.7,1283.5
20,1420,29,2,768.15,1536.3
21,383,37,4,709.34,2837.36
22,499,45,3,943.3,2829.9
23,1175,34,3,894.09,2682.27
24,1632,39,5,547.18,2735.9
25,913,33,2,278.99,557.98
26,602,45,1,943.3,943.3
27,1229,43,1,858.15,858.15
28,149,16,1,780.63,780.63
29,1740,13,2,499.42,998.84
30,1381,20,2,461.89,923.78
31,454,9,5,984.09,4920.45
32,974,36,2,389.19,778.38
33,1047,38,3,420.71,1262.13
34,1328,18,2,469.89,939.78
35,150,47,5,542.83,2714.15
36,1587,28,1,841.45,841.45
37,601,36,3,389.19,1167.57
38,1639,17,4,184.12,736.48
39,1034,42,2,946.59,1893.18
40,1702,26,4,746.21,2984.84
41,1778,6,3,676.06,2028.18
42,1828,44,4,386.57,1546.28
43,203,45,2,943.3,1886.6
44,1453,35,2,146.98,293.96
45,96,5,3,341.83,1025.49
46,316,41,2,395.57,791.14
47,1518,46,3,755.93,2267.79
48,649,37,5,709.34,3546.7
49,699,39,2,547.18,1094.36
50,1149,27,2,455.56,911.12
51,136,21,4,670.89,2683.56
52,327,25,1,451.44,451.44
53,1292,39,2,547.18,1094.36
54,1205,5,3,341.83,1025.49
55,1124,8,5,34.17,170.85
56,1158,8,5,34.17,170.85
57,1261,27,1,455.56,455.56
58,1058,22,1,599.49,599.49
59,998,24,3,432.46,1297.38
60,1847,50,3,441.47,1324.41
61,1404,10,2,851.23,1702.46
62,1118,18,1,469.89,469.89
63,1281,7,4,808.49,3233.96
64,1142,15,4,893.72,3574.88
65,1835,7,1,808.49,808.49
66,713,12,5,202.48,1012.4
67,1684,47,3,542.83,1628.49
68,1513,38,4,420.71,1682.84
69,1982,7,5,808.49,4042.45
70,1770,23,5,616.52,3082.6
71,455,19,5,256.7,1283.5
72,11,18,5,469.89,2349.45
73,502,7,1,808.49,808.49
74,1315,11,3,460.85,1382.55
75,263,49,4,493.34,1973.36
76,1130,12,3,202.48,607.44
77,1937,48,5,801.86,4009.3
78,307,36,5,389.19,1945.95
79,827,26,4,746.21,2984.84
80,1536,38,2,420.71,841.42
81,477,17,1,184.12,184.12
82,1170,44,5,386.57,1932.85
83,1801,46,2,755.93,1511.86
84,47,43,2,858.15,1716.3
85,734,10,4,851.23,3404.92
86,1880,37,3,709.34,2128.02
87,1258,4,3,520.29,1560.87
88,1865,46,2,755.93,1511.86
89,1191,44,5,386.57,1932.85
90,1537,27,4,455.56,1822.24
91,1805,12,4,202.48,809.92
92,1978,23,4,616.52,2466.08
93,1121,33,3,278.99,836.97
94,678,18,4,469.89,1879.56
95,1789,34,2,894.09,1788.18
96,29,20,1,461.89,461.89
97,1789,20,4,461.89,1847.56
98,894,50,3,441.47,1324.41
99,358,6,1,676.06,676.06
100,1206,5,2,341.83,683.66
101,1496,6,2,676.06,1352.12
102,766,37,1,709.34,709.34
103,1667,6,3,676.06,2028.18
104,164,36,4,389.19,1556.76
105,1451,1,4,678.86,2715.44
106,1951,44,5,386.57,1932.85
